Date,Open,High,Low,Close,Volume 
2015-01-31,231.84,235.36,216.46,218.51,42154
2015-02-01,218.51,231.44,209.71,225.29,41163
2015-02-02,225.29,242.51,220.53,238.86,39015
2015-02-03,238.86,247.48,223.91,227.41,63078
2015-02-04,227.41,230.71,220.23,226.58,55242
2015-02-05,226.58,229.85,214.35,216.52,40642
2015-02-06,216.52,226.16,215.65,222.96,52515
2015-02-07,222.96,231,222.38,227.68,39761
2015-02-08,227.68,230.23,219.5,223.67,29048
2015-02-09,223.67,225,215.66,220.34,91686
2015-02-10,220.34,222.19,214.44,219.67,86145
2015-02-11,219.67,223.53,217.28,218.83,71734
2015-02-12,218.83,223,217.3,221.79,50109
2015-02-13,221.79,241.58,220.62,236.17,112253
2015-02-14,236.17,261.25,235.38,258.64,133796
2015-02-15,258.64,264.57,226.56,233.27,179142
2015-02-16,233.27,240.03,228.01,235.83,115467
2015-02-17,235.83,247.17,232.03,243.2,116259
2015-02-18,243.2,245.51,231.7,235.2,99662
2015-02-19,235.2,244.11,234.87,241.92,66053
2015-02-20,241.92,247.76,238.83,244.52,83584
2015-02-21,244.52,247.32,242.65,244.41,42952
2015-02-22,244.41,246.54,232.72,235.73,75700
2015-02-23,235.73,240.06,231.33,238.82,62672
2015-02-24,238.82,240.25,235.5,238.89,45034
2015-02-25,238.89,239.64,234.59,237.33,38095
2015-02-26,237.33,238.17,233.5,236.53,50871
2015-02-27,236.53,258.72,235.7,253.47,167808
2015-02-28,253.47,255.4,248.73,254.06,39409
2015-03-01,254.06,260.65,244.77,257.94,51327
2015-03-02,257.94,274.8,256.15,273.75,81093
2015-03-03,273.75,287.06,266.12,280.65,164816
2015-03-04,280.65,284.47,265.91,271.92,138996
2015-03-05,271.92,280.84,262.81,275.23,123644
2015-03-06,275.23,277.99,269.02,272.56,98796
2015-03-07,272.56,278.25,269.41,274.91,60715
2015-03-08,274.91,278.78,271.31,274.49,50400
2015-03-09,274.49,293.26,273.79,290.02,151770
2015-03-10,290.02,300.96,288.12,291.37,158177
2015-03-11,291.37,297.66,288.88,295.6,79980
2015-03-12,295.6,296.98,290.83,293.85,107321
2015-03-13,293.85,294.92,286.08,287.21,97342
2015-03-14,287.21,288.4,279.3,281.6,75719
2015-03-15,281.6,286.39,280.37,284.88,39454
2015-03-16,284.88,294.01,284.77,290.41,66339
2015-03-17,290.41,292.46,283.25,285.38,65014
2015-03-18,285.38,285.65,248.19,255.92,206739
2015-03-19,255.92,264.8,247,260.93,180691
2015-03-20,260.93,264.71,257.85,261.78,52832
2015-03-21,261.78,263.26,254.02,259.71,51651
2015-03-22,259.71,270.42,259,268.57,56633
2015-03-23,268.57,271.01,259.38,265.46,81449
2015-03-24,265.46,267.02,242.67,246.72,151085
2015-03-25,246.72,249.21,234.84,246.37,131441
2015-03-26,246.37,254.69,243.52,248.02,89470
2015-03-27,248.02,250.05,244.47,247.21,62563
2015-03-28,247.21,254.25,246.28,252.02,55058
2015-03-29,252.02,252.81,238.93,242.08,77539
2015-03-30,242.08,248.83,236.55,246.79,85332
2015-03-31,246.79,248.7,241.18,244.15,75332
2015-04-01,244.15,247.67,239.57,246.24,67076
2015-04-02,246.24,254.85,244.25,252.6,81367
2015-04-03,252.6,256.53,251.26,254.48,71738
2015-04-04,254.48,255.24,250.31,252.89,30716
2015-04-05,252.89,260.26,250.6,259.64,43829
2015-04-06,259.64,261.45,252.32,254.97,45930
2015-04-07,254.97,255.6,250.15,252.97,44793
2015-04-08,252.97,254.26,242.57,244.57,102647
2015-04-09,244.57,246.22,237.62,243.32,69191
2015-04-10,243.32,244.11,231.3,234.73,100200
2015-04-11,234.73,240,233.12,236.48,51985
2015-04-12,236.48,237.52,232.27,235.85,33032
2015-04-13,235.85,236.75,220.36,223.59,105151
2015-04-14,223.59,224.72,214.27,217.99,115188
2015-04-15,217.99,223.56,217.15,222.97,77228
2015-04-16,222.97,229.53,222.87,227.98,84889
2015-04-17,227.98,229.28,220.56,222.59,66924
2015-04-18,222.59,224.47,220.57,223.35,36537
2015-04-19,223.35,226.94,221.96,223.02,35495
2015-04-20,223.02,226.72,221.58,224.24,44871
2015-04-21,224.24,235.27,223.29,233.73,68344
2015-04-22,233.73,238.4,231.8,233.78,77563
2015-04-23,233.78,236.12,232.58,235.4,42449
2015-04-24,235.4,236.55,229.06,231.09,69782
2015-04-25,231.09,232.29,223.05,226.14,43784
2015-04-26,226.14,226.72,214.14,218.7,100764
2015-04-27,218.7,242.65,216.6,228.96,123411
2015-04-28,228.96,229.87,222.03,225.81,65971
2015-04-29,225.81,227.24,222.25,225.42,60889
2015-04-30,225.42,240.01,224.68,235.77,112238
2015-05-01,235.77,239.42,232.38,233.21,60139
2015-05-02,233.21,236.38,231.73,235.34,37075
2015-05-03,235.34,243.58,233.8,239.99,55715
2015-05-04,239.99,243.2,237.45,238.97,69115
2015-05-05,238.97,239.61,231.78,235.82,77868
2015-05-06,235.82,237.15,228.24,230.03,103664
2015-05-07,230.03,240.25,228.33,237.73,91051
2015-05-08,237.73,247.01,235.77,243.74,87502
2015-05-09,243.74,247.87,238.52,241.4,62786
2015-05-10,241.4,244.82,238.23,239.96,44003
2015-05-11,239.96,243.95,238.86,241.81,57165
2015-05-12,241.81,243,239.18,241.58,40080
2015-05-13,241.58,243.91,234.07,236.38,84427
2015-05-14,236.38,239.17,232.36,236.9,71016
2015-05-15,236.9,238.83,235.53,237.2,46029
2015-05-16,237.2,237.78,234.57,236.23,27053
2015-05-17,236.23,237.77,235.35,236.3,28432
2015-05-18,236.3,237.1,231.46,232.64,53141
2015-05-19,232.64,234.5,231.27,232.02,40937
2015-05-20,232.02,235.17,231.47,233.96,49689
2015-05-21,233.96,236.65,233.61,235.38,42934
2015-05-22,235.38,242,234.56,240.37,74109
